"SampleID","WaterbodyID","InletOrOutlet","UorV","SamplingDate","Time","WaterTemperature_C","Air_Temperature_C","Pressure_Bar","pH","O2_pct","O2_mg_l","EC_us_cm","Chla","Alkalinitet_mekv_l","Kond_ms_m_25_C","PO4_P_filtr_mg_l","PO4_P_QC","TotP_mg_l","Tot_P_filtr_mg_l","NH4_N_mg_l","NO2_NO3_N_mg_l","TOC_mg_l","Tot_N_mg_l","Susp_mg_l","Dissolved_CH4_mg_L","Dissolved_N2O_ug_L","Methanotrophs_water_sample","Methanotrophs_sediment_sample","Methanogens_water_sample","Methanogens_sediment_sample"
473,5,"Outlet",,2023-9-6 00:00:00,"16:33",13.82,16.47,1.03,7.85,4.80,0.51,543.00,17.00,2.76,43.10,0.08,,0.57,0.14,0.02,,20.00,1.54,24.00,,,,,,
472,5,"Inlet",,2023-9-6 00:00:00,"15:54",17.10,16.47,1.03,7.75,20.60,2.02,644.00,23.00,3.96,55.50,0.17,,0.34,0.24,0.02,,19.70,1.71,12.00,,,,,,
471,28,"Outlet",,2023-9-6 00:00:00,"13:19",14.50,16.75,1.03,7.54,38.90,4.03,395.00,4.00,1.42,34.80,0.01,,0.04,0.02,0.13,5.08,8.20,5.33,10.00,,,,,,
470,28,"Inlet",,2023-9-6 00:00:00,"12:54",14.22,16.75,1.03,7.06,58.10,6.04,410.00,3.00,1.41,35.80,0.02,,0.05,0.02,0.04,5.13,6.40,5.36,25.00,,,,,,
469,4,"Outlet",,2023-9-5 00:00:00,"18:39",18.68,18.17,1.01,10.00,74.90,7.01,470.00,13.00,2.13,41.30,0.05,,0.14,0.10,0.01,,18.50,1.01,13.00,,,,,,
468,4,"Inlet",,2023-9-5 00:00:00,"18:19",13.90,18.17,1.01,7.87,65.40,6.78,659.00,30.00,3.16,53.40,0.08,,0.25,0.10,0.01,0.78,17.50,2.13,46.00,,,,,,
467,40,"Inlet",,2023-9-5 00:00:00,"16:49",13.95,21.57,1.01,8.05,58.10,6.03,324.00,10.00,2.09,29.70,0.08,,0.17,0.10,0.05,1.62,23.10,2.54,22.00,,,,,,
466,40,"Outlet",,2023-9-5 00:00:00,"16:31",15.38,21.57,1.01,7.40,9.10,0.91,302.00,7.00,1.89,26.00,0.14,,0.30,0.18,0.08,0.56,27.30,2.02,31.00,,,,,,
465,19,"Outlet",,2023-9-5 00:00:00,"14:01",15.32,22.02,1.01,7.67,6.70,0.67,264.00,11.00,1.27,18.80,0.10,,0.34,0.15,0.07,0.67,45.50,2.55,150.00,,,,,,
464,19,"Inlet",,2023-9-5 00:00:00,"13:19",15.81,22.02,1.01,8.18,68.20,6.80,234.00,16.00,1.44,20.30,0.04,,0.15,0.08,0.01,0.42,48.30,1.91,61.00,,,,,,
463,25,"Outlet",,2023-9-4 00:00:00,"15:44",14.67,21.30,1.02,7.80,11.70,1.21,306.00,9.00,1.66,30.00,0.58,,1.21,0.67,0.19,,27.00,2.16,20.00,,,,,,
462,25,"Inlet",,2023-9-4 00:00:00,"15:25",14.64,21.30,1.02,7.72,14.20,1.45,654.00,6.00,1.16,57.70,0.01,,0.64,0.03,0.19,0.13,14.70,1.60,120.00,,,,,,
461,26,"Inlet",,2023-9-4 00:00:00,"14:47",13.38,24.29,1.02,7.75,50.70,5.36,795.00,3.00,4.47,69.00,9.0e-03,,0.06,0.01,0.04,1.84,6.70,1.96,22.00,,,,,,
460,26,"Outlet",,2023-9-4 00:00:00,"14:27",15.93,24.29,1.02,7.34,29.40,2.94,468.00,20.00,2.60,40.00,0.01,,0.15,0.04,0.05,,19.30,1.40,17.00,,,,,,
459,15,"Outlet",,2023-9-4 00:00:00,"11:45",17.37,21.77,1.02,8.57,70.50,6.80,1891.00,6.00,6.10,44.80,0.02,,0.11,0.04,0.03,,10.40,0.71,15.00,,,,,,
458,15,"Inlet",,2023-9-4 00:00:00,"11:27",13.88,21.77,1.02,7.49,14.80,1.54,1474.00,4.00,2.80,133.00,2.0e-03,"<0,004",0.02,9.5e-03,0.07,,9.20,0.79,7.00,,,,,,
457,18,"Inlet",,2023-8-31 00:00:00,"14:49",15.10,18.44,1.00,8.86,42.20,4.21,543.00,14.00,4.40,44.20,4.0e-03,,0.04,0.01,8.0e-03,,20.60,1.01,7.00,,,,,,
456,18,"Outlet",,2023-8-31 00:00:00,"14:36",17.69,18.44,1.00,8.66,74.00,6.99,473.00,17.00,3.73,40.60,2.0e-03,"<0,004",0.03,0.01,0.01,,19.80,0.90,5.00,,,,,,
455,24,"Outlet",,2023-8-31 00:00:00,"13:08",13.93,20.08,1.00,7.97,3.00,0.31,1185.00,16.00,4.76,102.00,0.60,,0.98,0.64,1.44,,16.60,2.83,41.00,,,,,,
454,24,"Inlet",,2023-8-31 00:00:00,"12:55",14.05,20.08,1.00,8.85,38.40,3.91,1604.00,5.00,6.25,141.00,1.15,,1.42,1.19,9.74,0.44,11.40,11.70,51.00,,,,,,
453,38,"Outlet",,2023-8-31 00:00:00,"10:53",14.23,20.37,1.00,8.32,6.40,0.65,719.00,7.00,5.40,63.40,0.02,,0.16,0.03,0.03,,9.30,0.56,28.00,,,,,,
452,38,"Inlet",,2023-8-31 00:00:00,"10:40",12.57,20.37,1.00,8.14,19.70,2.08,831.00,7.00,5.68,67.40,8.0e-03,,0.05,0.01,0.01,,9.00,0.56,7.00,,,,,,
451,27,"Outlet",,2023-8-24 00:00:00,"16:27",21.28,20.75,1.01,8.58,40.50,3.59,785.00,5.00,2.12,70.90,0.01,,0.07,0.02,0.21,,13.80,1.58,29.00,,,,,,
450,27,"Inlet",,2023-8-24 00:00:00,"16:14",17.39,20.75,1.01,8.23,27.90,2.67,862.00,8.00,2.22,72.10,2.0e-03,"<0,004",0.11,0.01,0.16,,13.50,1.40,51.00,,,,,,
449,23,"Inlet",,2023-8-24 00:00:00,"13:02",15.62,21.73,1.01,8.39,55.30,5.51,411.00,9.00,3.21,39.10,0.22,,0.43,0.26,0.03,1.47,19.60,2.45,59.00,,,,,,
448,23,"Outlet",,2023-8-24 00:00:00,"12:42",15.58,21.73,1.01,7.64,27.40,2.73,392.00,10.00,2.84,35.10,0.17,,0.37,0.21,0.02,0.38,18.80,1.42,31.00,,,,,,
447,14,"Outlet",,2023-8-23 00:00:00,"14:47",21.10,20.67,1.01,8.63,42.40,3.77,660.00,8.00,2.31,57.00,2.0e-03,"<0,004",0.07,0.02,0.02,,24.50,1.76,15.00,,,,,,
446,14,"Inlet",,2023-8-23 00:00:00,"14:26",18.17,20.67,1.01,8.29,70.10,6.62,656.00,9.00,2.24,58.10,2.0e-03,"<0,004",0.05,0.02,0.01,,21.80,1.60,6.00,,,,,,
445,17,"Outlet",,2023-8-23 00:00:00,"12:33",16.25,19.48,1.01,7.90,7.10,0.70,401.00,42.00,1.53,30.60,0.07,,0.26,0.11,0.06,,19.70,1.39,29.00,,,,,,
